age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,smoke,bmi,active,label
33, Local-gov,198183, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,50, United-States,1.0,22.644572211786407,1.0,1
36, Private,86459, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, United-States,0.0,19.471467509439,0.0,1
58, Self-emp-not-inc,203039, 9th,5, Separated, Craft-repair, Not-in-family, White, Male,40, United-States,0.0,24.14257572124582,1.0,0
21, Private,180190, Assoc-voc,11, Married-civ-spouse, Farming-fishing, Husband, White, Male,46, United-States,1.0,22.222961018057237,0.0,0
27, Private,279872, Some-college,10, Divorced, Other-service, Not-in-family, White, Male,40, United-States,0.0,23.54901070468924,1.0,0
44, Private,175485, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,12, United-States,0.0,20.68809766218082,0.0,0
33, Private,67006, 10th,6, Never-married, Machine-op-inspct, Not-in-family, White, Female,45, United-States,0.0,23.950175871473288,1.0,0
62, Self-emp-not-inc,75478, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States,0.0,27.613992352922487,1.0,0
20, Private,374116, HS-grad,9, Never-married, Prof-specialty, Other-relative, White, Female,40, United-States,0.0,21.355929129500804,0.0,0
33, Private,23871, HS-grad,9, Divorced, Other-service, Unmarried, White, Female,30, United-States,0.0,27.47361209162804,1.0,0
24, Private,194604, Bachelors,13, Never-married, Sales, Own-child, White, Female,15, United-States,1.0,25.80480062790984,0.0,0
36, Private,247558, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,60, ?,0.0,21.50633004691106,1.0,1
43, Private,187728, Some-college,10, Married-civ-spouse, Prof-specialty, Wife, White, Female,50, United-States,0.0,25.677160734083284,0.0,1
41, Private,130408, HS-grad,9, Divorced, Sales, Unmarried, Black, Female,38, United-States,1.0,24.749005274839398,0.0,0
40, Private,271393, Assoc-acdm,12, Divorced, Exec-managerial, Not-in-family, White, Female,40, United-States,1.0,23.983758083757053,0.0,0
27, Private,101364, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,40, Mexico,1.0,22.930190150699893,1.0,0
30, Private,123178, 10th,6, Never-married, Craft-repair, Not-in-family, White, Male,50, United-States,0.0,23.180935108628894,0.0,0
38, Private,125933, Bachelors,13, Separated, Exec-managerial, Not-in-family, White, Male,45, United-States,0.0,19.74901422329382,0.0,1
25, Private,196771, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,65, United-States,0.0,26.85591825097231,0.0,0
20, Private,39927, HS-grad,9, Never-married, Other-service, Not-in-family, White, Male,8, United-States,0.0,23.812409946448263,1.0,0
26, Private,134287, Assoc-voc,11, Never-married, Sales, Own-child, White, Female,35, United-States,0.0,24.533377223249026,0.0,0
25, Private,117833, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,40, United-States,0.0,25.86869597710054,0.0,0
37, Private,188377, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, Black, Male,40, United-States,0.0,23.61217783455585,0.0,0
36, Private,135162, HS-grad,9, Never-married, Sales, Own-child, White, Male,45, ?,1.0,25.277235756552663,0.0,0
19, Private,203319, 11th,7, Never-married, Sales, Own-child, White, Male,30, United-States,0.0,25.061279785169805,0.0,0
32, Private,131425, Bachelors,13, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,50, United-States,0.0,24.522203781688646,0.0,0
21, Private,231866, Assoc-voc,11, Never-married, Craft-repair, Own-child, White, Male,40, United-States,0.0,22.43261047881353,0.0,0
55, Private,202559, Bachelors,13, Married-civ-spouse, Other-service, Other-relative, Asian-Pac-Islander, Male,35, Philippines,0.0,26.418108024708875,1.0,0
27, Private,213921, HS-grad,9, Never-married, Other-service, Own-child, White, Male,40, Mexico,0.0,24.659102817396498,1.0,0
28, Private,338409, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, Black, Female,40, Cuba,0.0,25.2852014976548,0.0,0
34, Private,101709, HS-grad,9, Separated, Transport-moving, Not-in-family, Asian-Pac-Islander, Male,40, United-States,0.0,25.904327925711087,0.0,0
39, Private,89419, Assoc-voc,11, Divorced, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,40, Columbia,0.0,25.112818007728034,0.0,0
41, Private,118212, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,0.0,25.369243463750486,1.0,1
42, Private,270721, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,32, United-States,0.0,21.04250588756336,0.0,0
58, Private,238438, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,42, United-States,0.0,23.935609332338515,0.0,0
49, Local-gov,52590, HS-grad,9, Widowed, Protective-serv, Not-in-family, Black, Male,40, United-States,1.0,26.485678706241785,0.0,0
54, Private,175912, 10th,6, Married-civ-spouse, Transport-moving, Husband, White, Male,40, United-States,1.0,22.48915045314289,0.0,0
19, ?,39460, HS-grad,9, Never-married, ?, Own-child, White, Male,60, United-States,0.0,25.73470023387186,1.0,0
33, Self-emp-not-inc,312055, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,45, United-States,0.0,23.94729102149125,1.0,1
35, Private,186183, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,80, United-States,0.0,19.47014998119787,1.0,1
29, Private,267034, 11th,7, Never-married, Craft-repair, Own-child, Black, Male,40, Haiti,0.0,27.692597423862534,0.0,0
29, Federal-gov,339002, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,0.0,20.388360769027752,1.0,1
61, Private,162397, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,40, United-States,1.0,23.297827798053635,0.0,1
47, Private,168232, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,44, United-States,1.0,24.443020243792905,1.0,1
23, Private,340543, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,38, United-States,0.0,21.614772011635605,1.0,0
56, Private,199713, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,0.0,26.091410749229226,1.0,0
40, Local-gov,42703, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female,40, United-States,1.0,22.405373466280608,0.0,1
71, Private,163385, Some-college,10, Widowed, Sales, Not-in-family, White, Male,35, United-States,0.0,20.82961349007055,1.0,1
35, Private,41777, 12th,8, Never-married, Farming-fishing, Not-in-family, White, Male,20, United-States,0.0,24.36443252271502,0.0,0
56, Private,101436, HS-grad,9, Divorced, Adm-clerical, Other-relative, Amer-Indian-Eskimo, Female,35, United-States,0.0,23.42650578444183,0.0,0
53, Private,89534, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,48, United-States,0.0,21.756851563984267,0.0,1
20, ?,121313, 10th,6, Never-married, ?, Own-child, White, Male,40, United-States,0.0,23.816675395012478,0.0,0
24, Private,216129, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,50, United-States,0.0,22.59755861919601,0.0,0
49, Private,28791, Some-college,10, Divorced, Other-service, Not-in-family, White, Female,40, United-States,1.0,21.902193529971946,0.0,0
29, Private,164040, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,40, United-States,0.0,22.750464542245368,1.0,0
17, Private,211870, 9th,5, Never-married, Other-service, Not-in-family, White, Male,6, United-States,1.0,19.936272057123908,0.0,0
46, Private,186820, Some-college,10, Married-civ-spouse, Other-service, Wife, White, Female,40, United-States,0.0,19.189434793100762,1.0,0
54, Private,421561, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,45, United-States,0.0,22.445159081117183,0.0,1
33, ?,102130, Some-college,10, Never-married, ?, Own-child, White, Male,40, United-States,1.0,26.529561429059825,0.0,0
52, Private,169785, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Female,50, United-States,0.0,25.63905337559649,0.0,0
51, Self-emp-not-inc,240358, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,20, United-States,0.0,22.345186032750497,1.0,0
20, Private,56322, Some-college,10, Never-married, Other-service, Own-child, White, Male,25, United-States,0.0,22.82377835066573,0.0,0
19, Private,278115, Some-college,10, Never-married, Other-service, Own-child, White, Male,12, United-States,0.0,23.355929198865176,1.0,0
29, Private,200928, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States,0.0,24.60436001964706,0.0,1
37, Private,412296, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,35, Mexico,0.0,22.839948869521713,0.0,1
50, Private,204518, 7th-8th,4, Divorced, Craft-repair, Not-in-family, White, Male,40, United-States,0.0,23.1131017651704,1.0,0
29, Private,368949, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,40, ?,1.0,22.646373931192908,0.0,1
44, Private,151089, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,50, United-States,0.0,24.183407643307433,1.0,1
